invoice_id,sale_date,customer_id,product_id,store_id,quantity,gross_sales,tax,total_sales,payment_method,rating
INV00048,2024-07-07,C0004,P011,S001,5,125.00,6.25,131.25,Upi,8.40
INV00049,2024-06-19,C0112,P008,S002,2,44.00,2.20,46.20,Upi,9.80
INV00050,2024-02-20,C0017,P011,S003,2,50.00,2.50,52.50,Upi,7.80
INV00051,2024-01-22,C0120,P001,S003,1,18.50,0.93,19.43,Cash,9.00
INV00052,2024-03-31,C0024,P018,S001,1,32.00,1.60,33.60,Upi,7.70
INV00053,2024-04-26,C0022,P003,S003,1,9.50,0.48,9.98,Cash,6.30
INV00054,2024-02-17,C0026,P008,S002,2,44.00,2.20,46.20,Card,6.70
INV00055,2024-11-05,C0121,P003,S002,1,9.50,0.48,9.98,Cash,5.70
INV00056,2024-06-21,C0105,P003,S001,3,28.50,1.43,29.93,Cash,6.40
INV00057,2024-06-24,C0106,P015,S001,2,70.00,3.50,73.50,Upi,9.20
INV00058,2024-07-16,C0104,P015,S003,1,35.00,1.75,36.75,Cash,8.70
INV00059,2024-01-16,C0032,P010,S002,3,15.00,0.75,15.75,Card,6.20
INV00060,2024-10-01,C0175,P003,S002,1,9.50,0.48,9.98,Card,7.60
INV00061,2024-02-24,C0016,P013,S001,1,15.00,0.75,15.75,Upi,6.30
INV00062,2024-08-12,C0018,P004,S001,2,14.00,0.70,14.70,Upi,7.20
INV00063,2024-11-20,C0036,P018,S003,1,32.00,1.60,33.60,Card,6.60
INV00064,2024-05-24,C0172,P008,S003,1,22.00,1.10,23.10,Card,7.70
INV00065,2024-03-08,C0119,P017,S002,4,80.00,4.00,84.00,Upi,9.00
INV00066,2024-09-24,C0089,P014,S001,1,12.00,0.60,12.60,Card,9.80
INV00067,2024-11-28,C0135,P007,S003,1,8.00,0.40,8.40,Cash,9.10
INV00068,2024-09-12,C0038,P003,S003,2,19.00,0.95,19.95,Upi,6.40
INV00069,2024-08-03,C0069,P011,S001,4,100.00,5.00,105.00,Cash,8.90
INV00070,2024-03-15,C0080,P004,S002,1,7.00,0.35,7.35,Cash,5.90
INV00071,2024-01-15,C0174,P016,S003,1,9.00,0.45,9.45,Upi,6.20
INV00072,2024-05-07,C0057,P007,S001,1,8.00,0.40,8.40,Cash,7.30
INV00073,2024-10-31,C0049,P014,S003,1,12.00,0.60,12.60,Cash,6.30
INV00074,2024-09-13,C0133,P005,S001,4,26.00,1.30,27.30,Cash,8.60
INV00075,2024-07-08,C0056,P007,S002,1,8.00,0.40,8.40,Cash,6.20
INV00076,2024-11-08,C0031,P005,S001,3,19.50,0.98,20.48,Upi,8.60
INV00077,2024-10-11,C0154,P010,S003,1,5.00,0.25,5.25,Cash,8.80
INV00078,2024-03-17,C0117,P003,S002,3,28.50,1.43,29.93,Upi,8.40
INV00079,2024-11-18,C0121,P013,S001,4,60.00,3.00,63.00,Cash,9.30
INV00080,2024-03-24,C0038,P011,S002,1,25.00,1.25,26.25,Upi,7.70
INV00081,2024-01-11,C0167,P008,S003,1,22.00,1.10,23.10,Upi,9.80
INV00082,2024-08-26,C0029,P005,S002,3,19.50,0.98,20.48,Card,5.90
INV00083,2024-08-01,C0082,P014,S001,2,24.00,1.20,25.20,Upi,7.40
INV00084,2024-02-10,C0056,P005,S002,1,6.50,0.33,6.83,Card,8.00
INV00085,2024-06-21,C0108,P002,S001,2,24.00,1.20,25.20,Upi,6.50
INV00086,2024-07-01,C0125,P006,S003,1,14.00,0.70,14.70,Card,5.80
INV00087,2024-02-26,C0058,P006,S003,3,42.00,2.10,44.10,Upi,8.40
INV00088,2024-01-03,C0123,P004,S003,4,28.00,1.40,29.40,Card,7.50
INV00090,2024-06-07,C0078,P014,S001,1,12.00,0.60,12.60,Cash,8.00
INV00091,2024-02-11,C0088,P008,S003,4,88.00,4.40,92.40,Upi,8.50
INV00092,2024-12-19,C0136,P017,S001,1,20.00,1.00,21.00,Cash,8.50
INV00093,2024-08-24,C0024,P012,S001,2,36.00,1.80,37.80,Upi,9.60
INV00094,2024-03-18,C0204,P002,S001,2,24.00,1.20,25.20,Upi,8.90
INV00095,2024-12-14,C0137,P012,S002,3,54.00,2.70,56.70,Upi,6.60
INV00096,2024-08-02,C0018,P007,S003,4,32.00,1.60,33.60,Card,8.80
INV00097,2024-03-20,C0143,P015,S003,1,35.00,1.75,36.75,Upi,7.50
INV00098,2024-02-12,C0015,P011,S001,1,25.00,1.25,26.25,Upi,6.70
INV00099,2024-04-13,C0028,P013,S001,2,30.00,1.50,31.50,Cash,9.70
INV00100,2024-01-26,C0206,P007,S003,3,24.00,1.20,25.20,Upi,9.40
INV00101,2024-01-21,C0144,P009,S002,1,11.50,0.58,12.08,Upi,6.70
INV00102,2024-08-02,C0057,P018,S003,1,32.00,1.60,33.60,Cash,9.40
INV00103,2024-07-18,C0070,P003,S001,3,28.50,1.43,29.93,Upi,7.30
INV00104,2024-12-19,C0037,P018,S001,2,64.00,3.20,67.20,Cash,8.40
INV00105,2024-03-06,C0027,P001,S003,1,18.50,0.93,19.43,Upi,9.30
INV00106,2024-05-01,C0135,P001,S002,1,18.50,0.93,19.43,Upi,7.20
INV00107,2024-10-31,C0021,P018,S003,3,96.00,4.80,100.80,Card,7.30
INV00108,2024-01-10,C0104,P001,S002,1,18.50,0.93,19.43,Upi,7.10
INV00109,2024-11-25,C0047,P009,S003,1,11.50,0.58,12.08,Card,7.20
INV00110,2024-07-11,C0045,P017,S002,2,40.00,2.00,42.00,Card,5.70
INV00111,2024-04-01,C0057,P002,S001,3,36.00,1.80,37.80,Card,8.60
INV00112,2024-04-30,C0091,P013,S002,1,15.00,0.75,15.75,Upi,9.10
INV00113,2024-05-01,C0070,P014,S003,2,24.00,1.20,25.20,Card,8.50
INV00114,2024-06-24,C0015,P015,S001,3,105.00,5.25,110.25,Cash,9.70
INV00115,2024-07-10,C0051,P003,S003,3,28.50,1.43,29.93,Upi,6.00
INV00116,2024-04-26,C0052,P008,S001,2,44.00,2.20,46.20,Card,7.90
INV00117,2024-01-26,C0066,P013,S002,1,15.00,0.75,15.75,Cash,8.60
INV00118,2024-12-29,C0086,P012,S001,1,18.00,0.90,18.90,Upi,5.70
INV00119,2024-09-09,C0059,P017,S002,3,60.00,3.00,63.00,Card,8.80
INV00120,2024-06-24,C0123,P004,S001,3,21.00,1.05,22.05,Upi,7.70
INV00121,2024-11-03,C0003,P012,S003,2,36.00,1.80,37.80,Cash,9.10
INV00122,2024-09-15,C0220,P006,S003,3,42.00,2.10,44.10,Card,7.30
INV00123,2024-01-04,C0007,P002,S001,1,12.00,0.60,12.60,Card,8.10
INV00124,2024-07-20,C0011,P012,S003,1,18.00,0.90,18.90,Card,7.10
INV00125,2024-10-05,C0216,P006,S002,2,28.00,1.40,29.40,Upi,9.80
INV00126,2024-04-04,C0136,P004,S002,3,21.00,1.05,22.05,Card,9.30
INV00127,2024-08-31,C0115,P003,S003,3,28.50,1.43,29.93,Card,6.60
INV00128,2024-03-29,C0057,P018,S001,4,128.00,6.40,134.40,Cash,9.20
INV00129,2024-08-17,C0021,P010,S003,2,10.00,0.50,10.50,Upi,8.20
INV00130,2024-07-28,C0089,P005,S001,2,13.00,0.65,13.65,Cash,9.40
INV00131,2024-05-13,C0098,P015,S002,2,70.00,3.50,73.50,Card,6.70
INV00132,2024-12-05,C0102,P010,S002,3,15.00,0.75,15.75,Cash,7.00
INV00133,2024-02-03,C0056,P017,S001,2,40.00,2.00,42.00,Cash,7.70
INV00134,2024-01-21,C0045,P002,S002,3,36.00,1.80,37.80,Upi,6.10
INV00135,2024-02-17,C0043,P011,S002,2,50.00,2.50,52.50,Card,7.60
INV00136,2024-06-28,C0108,P004,S002,1,7.00,0.35,7.35,Cash,7.50
INV00137,2024-03-23,C0195,P017,S001,1,20.00,1.00,21.00,Cash,7.20
INV00138,2024-07-27,C0063,P005,S001,1,6.50,0.33,6.83,Upi,6.00
INV00139,2024-07-09,C0050,P004,S002,4,28.00,1.40,29.40,Cash,9.40
INV00140,2024-12-20,C0050,P012,S001,1,18.00,0.90,18.90,Card,6.80
INV00141,2024-04-13,C0119,P012,S002,3,54.00,2.70,56.70,Card,5.90
INV00142,2024-09-22,C0031,P016,S003,4,36.00,1.80,37.80,Upi,9.90
INV00143,2024-12-26,C0082,P007,S001,1,8.00,0.40,8.40,Cash,6.80
INV00144,2024-08-01,C0126,P014,S002,2,24.00,1.20,25.20,Upi,7.70
INV00145,2024-07-08,C0032,P013,S001,2,30.00,1.50,31.50,Upi,8.80
INV00146,2024-10-31,C0019,P001,S001,1,18.50,0.93,19.43,Card,7.60
INV00147,2024-02-01,C0139,P012,S003,2,36.00,1.80,37.80,Upi,8.70
INV00148,2024-06-20,C0172,P006,S001,1,14.00,0.70,14.70,Upi,8.40
INV00149,2024-01-22,C0222,P011,S002,2,50.00,2.50,52.50,Cash,8.00
INV00150,2024-05-09,C0091,P003,S003,1,9.50,0.48,9.98,Cash,9.40
INV00151,2024-06-12,C0048,P015,S003,2,70.00,3.50,73.50,Cash,8.30
INV00152,2024-08-22,C0127,P015,S003,1,35.00,1.75,36.75,Card,9.60
INV00153,2024-01-15,C0042,P011,S002,2,50.00,2.50,52.50,Upi,7.70
INV00154,2024-10-07,C0057,P006,S001,2,28.00,1.40,29.40,Card,9.10
INV00155,2024-01-20,C0054,P003,S002,1,9.50,0.48,9.98,Cash,7.00
INV00156,2024-11-19,C0152,P009,S002,1,11.50,0.58,12.08,Upi,8.30
INV00157,2024-03-16,C0108,P006,S003,1,14.00,0.70,14.70,Card,6.40
INV00158,2024-07-18,C0003,P006,S003,1,14.00,0.70,14.70,Cash,9.10
INV00159,2024-11-28,C0130,P006,S001,2,28.00,1.40,29.40,Upi,6.20
INV00160,2024-03-10,C0129,P007,S001,4,32.00,1.60,33.60,Cash,9.00
INV00161,2024-01-10,C0028,P015,S002,1,35.00,1.75,36.75,Card,8.70
INV00162,2024-10-11,C0190,P018,S002,1,32.00,1.60,33.60,Upi,7.60
INV00163,2024-12-21,C0055,P001,S001,2,37.00,1.85,38.85,Card,9.70
INV00164,2024-05-21,C0195,P009,S003,1,11.50,0.58,12.08,Cash,9.10
INV00165,2024-01-05,C0121,P015,S001,1,35.00,1.75,36.75,Card,9.70
INV00166,2024-10-20,C0128,P014,S002,2,24.00,1.20,25.20,Card,6.40
INV00167,2024-03-16,C0025,P011,S001,2,50.00,2.50,52.50,Upi,6.30
INV00168,2024-03-09,C0111,P007,S002,1,8.00,0.40,8.40,Card,9.90
INV00169,2024-03-04,C0119,P013,S001,2,30.00,1.50,31.50,Cash,8.50
INV00170,2024-05-01,C0098,P017,S001,1,20.00,1.00,21.00,Upi,8.50
INV00171,2024-05-10,C0216,P004,S003,1,7.00,0.35,7.35,Upi,9.80
INV00172,2024-04-16,C0090,P012,S003,1,18.00,0.90,18.90,Card,5.60
INV00173,2024-10-17,C0135,P018,S001,1,32.00,1.60,33.60,Upi,8.50
INV00174,2024-04-25,C0105,P003,S001,1,9.50,0.48,9.98,Upi,7.80
INV00175,2024-09-17,C0140,P004,S002,3,21.00,1.05,22.05,Cash,8.40
INV00176,2024-10-04,C0111,P012,S001,2,36.00,1.80,37.80,Upi,5.80
INV00177,2024-02-23,C0082,P001,S003,2,37.00,1.85,38.85,Cash,9.50
INV00178,2024-12-03,C0036,P004,S002,3,21.00,1.05,22.05,Card,6.20
INV00179,2024-08-13,C0133,P004,S001,5,35.00,1.75,36.75,Upi,5.80
INV00180,2024-05-13,C0120,P010,S003,2,10.00,0.50,10.50,Upi,7.10
INV00181,2024-01-15,C0132,P011,S001,1,25.00,1.25,26.25,Upi,6.30
INV00182,2024-05-31,C0012,P013,S002,2,30.00,1.50,31.50,Upi,5.90
INV00183,2024-08-06,C0232,P011,S001,3,75.00,3.75,78.75,Upi,5.50
INV00184,2024-12-11,C0139,P006,S003,3,42.00,2.10,44.10,Upi,6.20
INV00185,2024-07-26,C0096,P006,S001,5,70.00,3.50,73.50,Upi,6.00
INV00186,2024-04-04,C0100,P017,S003,4,80.00,4.00,84.00,Upi,6.70
INV00187,2024-08-18,C0082,P006,S003,1,14.00,0.70,14.70,Card,9.80
INV00188,2024-11-23,C0087,P010,S002,1,5.00,0.25,5.25,Upi,6.60
INV00189,2024-01-02,C0063,P005,S001,3,19.50,0.98,20.48,Card,6.20
INV00190,2024-05-30,C0181,P011,S003,2,50.00,2.50,52.50,Upi,8.20
INV00191,2024-08-04,C0047,P012,S003,3,54.00,2.70,56.70,Cash,6.00
INV00192,2024-10-19,C0195,P015,S001,1,35.00,1.75,36.75,Upi,9.00
INV00193,2024-09-13,C0123,P005,S001,1,6.50,0.33,6.83,Card,6.30
INV00194,2024-03-02,C0062,P006,S001,3,42.00,2.10,44.10,Cash,9.00
INV00195,2024-12-17,C0162,P008,S002,3,66.00,3.30,69.30,Upi,6.60
INV00196,2024-04-23,C0103,P013,S001,1,15.00,0.75,15.75,Card,9.50
INV00197,2024-02-25,C0048,P002,S003,1,12.00,0.60,12.60,Upi,6.90
INV00198,2024-11-14,C0164,P007,S001,1,8.00,0.40,8.40,Upi,6.70
INV00199,2024-07-20,C0111,P004,S002,2,14.00,0.70,14.70,Upi,6.40
INV00200,2024-10-28,C0073,P005,S003,1,6.50,0.33,6.83,Card,9.10
INV00201,2024-05-23,C0078,P004,S002,3,21.00,1.05,22.05,Cash,6.00
INV00202,2024-10-12,C0105,P016,S001,3,27.00,1.35,28.35,Cash,7.80
INV00203,2024-04-07,C0232,P016,S002,1,9.00,0.45,9.45,Card,7.00
INV00204,2024-12-19,C0005,P002,S002,1,12.00,0.60,12.60,Card,8.70
INV00205,2024-02-09,C0075,P004,S003,1,7.00,0.35,7.35,Upi,9.90
INV00206,2024-08-04,C0061,P011,S002,1,25.00,1.25,26.25,Cash,6.00
INV00207,2024-06-22,C0119,P004,S001,3,21.00,1.05,22.05,Upi,7.80
INV00208,2024-01-28,C0210,P010,S001,5,25.00,1.25,26.25,Upi,6.20
INV00209,2024-12-03,C0034,P014,S001,2,24.00,1.20,25.20,Cash,6.00
INV00210,2024-07-23,C0116,P013,S001,3,45.00,2.25,47.25,Cash,9.10
INV00211,2024-10-11,C0191,P012,S001,4,72.00,3.60,75.60,Card,7.20
INV00212,2024-01-29,C0129,P010,S002,2,10.00,0.50,10.50,Card,9.40
INV00213,2024-03-07,C0027,P015,S002,1,35.00,1.75,36.75,Upi,6.20
INV00214,2024-01-22,C0030,P007,S003,2,16.00,0.80,16.80,Cash,5.60
INV00215,2024-07-23,C0074,P007,S001,1,8.00,0.40,8.40,Cash,6.00
INV00216,2024-11-25,C0118,P001,S002,2,37.00,1.85,38.85,Upi,6.20
INV00217,2024-02-22,C0021,P008,S001,2,44.00,2.20,46.20,Upi,6.90
INV00218,2024-08-07,C0216,P007,S002,4,32.00,1.60,33.60,Card,6.50
INV00219,2024-12-15,C0056,P003,S003,1,9.50,0.48,9.98,Card,5.80
INV00220,2024-12-17,C0147,P002,S001,3,36.00,1.80,37.80,Upi,6.10
INV00221,2024-05-01,C0231,P001,S003,3,55.50,2.78,58.28,Card,9.50
INV00222,2024-05-25,C0110,P011,S002,2,50.00,2.50,52.50,Upi,8.50
INV00223,2024-07-28,C0219,P010,S001,1,5.00,0.25,5.25,Cash,7.80
INV00224,2024-02-06,C0071,P003,S001,2,19.00,0.95,19.95,Card,6.40
INV00225,2024-03-28,C0072,P011,S001,1,25.00,1.25,26.25,Card,8.70
INV00226,2024-08-11,C0144,P005,S001,1,6.50,0.33,6.83,Upi,9.80
INV00227,2024-10-08,C0061,P015,S001,2,70.00,3.50,73.50,Upi,6.80
INV00228,2024-08-07,C0067,P001,S002,4,74.00,3.70,77.70,Card,7.60
INV00229,2024-04-30,C0139,P015,S002,1,35.00,1.75,36.75,Upi,8.10
INV00230,2024-12-18,C0115,P002,S003,5,60.00,3.00,63.00,Card,10.00
INV00231,2024-05-15,C0129,P003,S001,2,19.00,0.95,19.95,Cash,9.90
INV00232,2024-12-29,C0021,P015,S002,1,35.00,1.75,36.75,Upi,7.20
INV00233,2024-05-11,C0131,P015,S002,2,70.00,3.50,73.50,Cash,5.60
INV00234,2024-03-09,C0038,P006,S003,1,14.00,0.70,14.70,Cash,7.20
INV00235,2024-10-14,C0135,P017,S002,1,20.00,1.00,21.00,Upi,7.50
INV00236,2024-03-11,C0015,P012,S002,2,36.00,1.80,37.80,Card,8.50
INV00237,2024-06-21,C0129,P013,S001,2,30.00,1.50,31.50,Upi,6.00
INV00238,2024-11-07,C0188,P011,S003,3,75.00,3.75,78.75,Upi,6.10
INV00239,2024-09-03,C0143,P004,S002,2,14.00,0.70,14.70,Upi,7.90
INV00240,2024-06-30,C0140,P012,S002,3,54.00,2.70,56.70,Cash,7.70
INV00241,2024-07-03,C0181,P005,S002,2,13.00,0.65,13.65,Upi,5.60
INV00242,2024-02-03,C0117,P009,S002,2,23.00,1.15,24.15,Upi,9.70
INV00243,2024-11-19,C0108,P010,S001,2,10.00,0.50,10.50,Card,7.20
INV00244,2024-02-09,C0062,P008,S003,5,110.00,5.50,115.50,Upi,9.30
INV00245,2024-02-08,C0100,P009,S002,1,11.50,0.58,12.08,Upi,7.00
INV00246,2024-08-20,C0227,P002,S003,1,12.00,0.60,12.60,Card,9.60
INV00247,2024-10-11,C0154,P007,S002,1,8.00,0.40,8.40,Card,9.40
INV00248,2024-01-17,C0211,P018,S002,2,64.00,3.20,67.20,Cash,7.20
INV00249,2024-11-13,C0010,P006,S001,2,28.00,1.40,29.40,Upi,8.90
INV00250,2024-08-26,C0136,P013,S003,1,15.00,0.75,15.75,Upi,7.70
INV00251,2024-08-11,C0096,P016,S001,2,18.00,0.90,18.90,Upi,6.00
INV00252,2024-12-15,C0116,P013,S001,2,30.00,1.50,31.50,Card,6.80
INV00253,2024-04-25,C0052,P013,S003,2,30.00,1.50,31.50,Card,6.40
INV00254,2024-12-07,C0031,P008,S001,3,66.00,3.30,69.30,Upi,6.90
INV00255,2024-07-03,C0202,P012,S001,5,90.00,4.50,94.50,Cash,7.60
INV00256,2024-03-26,C0171,P007,S003,2,16.00,0.80,16.80,Upi,7.70
INV00257,2024-04-09,C0139,P007,S001,3,24.00,1.20,25.20,Upi,7.00
INV00258,2024-06-02,C0049,P012,S002,1,18.00,0.90,18.90,Upi,7.20
INV00259,2024-05-25,C0205,P011,S003,4,100.00,5.00,105.00,Card,6.70
INV00260,2024-09-13,C0008,P012,S002,2,36.00,1.80,37.80,Upi,5.90
INV00261,2024-10-23,C0074,P013,S002,2,30.00,1.50,31.50,Cash,9.20
INV00262,2024-10-27,C0064,P011,S001,2,50.00,2.50,52.50,Cash,9.90
INV00263,2024-04-08,C0081,P007,S003,3,24.00,1.20,25.20,Upi,7.00
INV00264,2024-02-25,C0009,P006,S001,1,14.00,0.70,14.70,Upi,9.50
INV00265,2024-05-08,C0153,P018,S003,2,64.00,3.20,67.20,Upi,6.00
INV00266,2024-11-07,C0024,P003,S002,4,38.00,1.90,39.90,Card,6.30
INV00267,2024-04-16,C0023,P016,S002,3,27.00,1.35,28.35,Upi,8.40
INV00268,2024-12-21,C0236,P011,S001,2,50.00,2.50,52.50,Card,8.20
INV00269,2024-02-11,C0098,P009,S001,5,57.50,2.88,60.38,Card,7.20
INV00270,2024-08-22,C0082,P017,S003,1,20.00,1.00,21.00,Upi,6.20
INV00271,2024-01-22,C0002,P008,S001,3,66.00,3.30,69.30,Upi,5.80
INV00272,2024-05-14,C0130,P004,S002,4,28.00,1.40,29.40,Upi,5.60
INV00273,2024-04-15,C0017,P002,S003,1,12.00,0.60,12.60,Card,5.60
INV00274,2024-11-18,C0100,P015,S001,3,105.00,5.25,110.25,Card,9.10
INV00275,2024-10-29,C0162,P006,S003,5,70.00,3.50,73.50,Card,9.50
INV00276,2024-03-26,C0136,P005,S001,1,6.50,0.33,6.83,Cash,7.40
INV00277,2024-05-03,C0194,P011,S003,1,25.00,1.25,26.25,Card,9.30
INV00278,2024-02-27,C0013,P011,S001,1,25.00,1.25,26.25,Upi,9.70
INV00279,2024-10-10,C0003,P013,S001,1,15.00,0.75,15.75,Card,6.90
INV00280,2024-05-06,C0105,P007,S002,3,24.00,1.20,25.20,Upi,6.10
INV00281,2024-10-28,C0239,P006,S003,2,28.00,1.40,29.40,Card,5.70
INV00282,2024-11-30,C0047,P006,S001,1,14.00,0.70,14.70,Card,7.30
INV00283,2024-09-07,C0034,P005,S002,2,13.00,0.65,13.65,Upi,7.30
INV00284,2024-03-05,C0059,P001,S001,3,55.50,2.78,58.28,Card,6.80
INV00285,2024-04-21,C0115,P018,S001,2,64.00,3.20,67.20,Card,6.40
INV00286,2024-12-05,C0143,P006,S001,2,28.00,1.40,29.40,Card,8.80
INV00287,2024-11-06,C0067,P005,S001,2,13.00,0.65,13.65,Upi,7.60
INV00288,2024-10-21,C0070,P014,S002,2,24.00,1.20,25.20,Card,6.20
INV00289,2024-01-03,C0041,P011,S003,3,75.00,3.75,78.75,Upi,9.50
INV00290,2024-03-21,C0005,P011,S001,4,100.00,5.00,105.00,Card,5.80
INV00291,2024-06-27,C0103,P006,S002,2,28.00,1.40,29.40,Upi,8.60
INV00292,2024-02-27,C0028,P008,S002,1,22.00,1.10,23.10,Card,7.90
INV00293,2024-04-03,C0132,P017,S002,2,40.00,2.00,42.00,Upi,9.10
INV00294,2024-02-04,C0028,P015,S001,3,105.00,5.25,110.25,Cash,8.10
INV00295,2024-09-20,C0105,P008,S002,4,88.00,4.40,92.40,Cash,6.00
INV00296,2024-07-28,C0088,P017,S001,1,20.00,1.00,21.00,Cash,8.00
INV00297,2024-04-19,C0219,P002,S001,2,24.00,1.20,25.20,Cash,6.20
INV00298,2024-03-05,C0024,P018,S001,2,64.00,3.20,67.20,Upi,8.50
INV00299,2024-01-11,C0092,P016,S003,3,27.00,1.35,28.35,Card,8.80
INV00300,2024-01-09,C0191,P014,S003,1,12.00,0.60,12.60,Card,9.70
INV00301,2024-03-10,C0042,P007,S002,3,24.00,1.20,25.20,Cash,7.10
INV00302,2024-09-08,C0081,P002,S003,2,24.00,1.20,25.20,Upi,7.50
INV00303,2024-02-28,C0233,P017,S002,2,40.00,2.00,42.00,Card,6.90
INV00304,2024-02-25,C0103,P013,S003,1,15.00,0.75,15.75,Upi,9.00
INV00305,2024-08-02,C0085,P004,S001,2,14.00,0.70,14.70,Upi,9.90
INV00306,2024-05-31,C0109,P004,S002,1,7.00,0.35,7.35,Upi,6.30
INV00307,2024-11-10,C0034,P009,S001,1,11.50,0.58,12.08,Card,5.70
INV00308,2024-02-27,C0131,P010,S002,1,5.00,0.25,5.25,Card,9.80
INV00309,2024-09-07,C0012,P018,S002,2,64.00,3.20,67.20,Upi,8.40
INV00310,2024-11-30,C0232,P010,S003,3,15.00,0.75,15.75,Card,8.80
INV00311,2024-07-13,C0113,P001,S001,1,18.50,0.93,19.43,Card,6.70
INV00312,2024-03-02,C0005,P005,S003,2,13.00,0.65,13.65,Upi,6.10
INV00313,2024-05-13,C0079,P007,S002,2,16.00,0.80,16.80,Card,7.30
INV00314,2024-12-20,C0049,P010,S003,1,5.00,0.25,5.25,Cash,8.30
INV00315,2024-05-13,C0189,P005,S002,2,13.00,0.65,13.65,Cash,7.50
INV00316,2024-02-18,C0033,P007,S001,2,16.00,0.80,16.80,Cash,9.60
INV00317,2024-02-03,C0063,P001,S001,1,18.50,0.93,19.43,Card,6.70
INV00318,2024-01-28,C0037,P016,S002,2,18.00,0.90,18.90,Upi,9.30
INV00319,2024-03-21,C0034,P012,S003,3,54.00,2.70,56.70,Cash,5.90
